,Nama,Alamat,Lat,Lng,Rating,User Rating
0,Alfamart,"Jl. Parangtritis Km. 11 Manding Rt. 04, Manding, Sabdodadi, Kec. Bantul, Kab. Bantul, Daerah Istimewa Yogyakarta 55715, Indonesia",-7.8940077,110.3523724,3.2,113
1,Alfamart Srandakan,"Jl. Srandakan Jl. Kp. Bendo Mangiran No.KM, Puluhan Kidul, Trimurti, Kec. Srandakan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55762, Indonesia",-7.932212199999999,110.2650296,4.2,519
2,Alfamart Bangunjiwo,"Jl. Bibis No.18, Gendeng, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184, Indonesia",-7.840503099999999,110.3132347,0.0,0
3,Alfamart Tugu Lilin,"5877+F29, Ngentak, Bangunjiwo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55184, Indonesia",-7.836345100000001,110.3125807,4.4,16
4,Alfamart,"Jl. Bibis Kel No.Km. 03, RT.7/RW.18, Kasih, Tamantirto, Kasihan, Kab. Bantul, Special Region of Yogyakarta 55183, Indonesia",-7.825887900000001,110.3277116,3.3,85
5,Alfamart,"Kompleks Spbu 44.551.18 Jl Parangtritis Km 5.5 Kel, Pandes, Panggungharjo, Kec. Sewon, Kab. Bantul, Daerah Istimewa Yogyakarta 55188, Indonesia",-7.845107499999999,110.3609779,4.1,68
6,Alfamart,"Jl. Parangtritis Km. 4,5 Samanbaru Rt. 11 Kel, Druwo, Bangunharjo, Kec. Sewon, Kab. Bantul, Lampung 55187, Indonesia",-7.8370824,110.3650816,3.5,50
7,Alfamart UMY Tamantirto,"Jl. Sunan Kudus No. 9 Ngrukeman, Gatak, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55183, Indonesia",-7.8145806,110.3283898,3.1,51
8,Alfamart,"Jl. Bugisan Selatan No. 44 Tegal Segotan, Rt. 02 Kel, Tegal Senggotan, Tirtonirmolo, Kec. Kasihan, Kab. Bantul, Daerah Istimewa Yogyakarta 55181, Indonesia",-7.818459099999999,110.348299,3.9,76
9,Alfamart,"Jl. Ringroad Selatan Kel No.124, Geblagan, Bangunjiwo, Kec. Kasihan, Kab. Bantul, Daerah Istimewa Yogyakarta 55184, Indonesia",-7.8098018,110.3247227,3.0,45
10,Alfamart,"No. 220, Jl. Parangtritis No.Km 4, Saman, Bangunharjo, Kec. Sewon, Kab. Bantul, Daerah Istimewa Yogyakarta 55187, Indonesia",-7.8309082,110.3670763,2.6,71
11,Indomaret,"Jl. Dr. Wahidin, Karangbayam, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714, Indonesia",-7.8928787,110.3369961,3.8,118
12,Alfamart Ngebel,"Jl. Wijoseno No.149, Ngebel, Tamantirto, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55183, Indonesia",-7.8141037,110.3182656,3.7,6
13,Alfamart Ring Road Selatan,"58FW+68V, Jogonalan Lor, Tirtonirmolo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184, Indonesia",-7.8268805,110.345791,4.5,278
14,Alfamart,"Dk, Jl. Purworejo - Jogja Jl. Wates No.Rt. 34, Bandut Lor, Argorejo, Kec. Sedayu, Kab. Bantul, Daerah Istimewa Yogyakarta 55752, Indonesia",-7.812465599999999,110.2680517,3.4,60
15,Alfamart,"Jl. Pgri No. 119, Dsn. Sonosewu No.Kel, Sonosewu, Ngestiharjo, Kec. Kasihan, Kab. Bantul, Daerah Istimewa Yogyakarta 55182, Indonesia",-7.806412300000001,110.3405766,2.9,39
16,Alfamart,"Jl. Soragan Kel No.Rt.02, Cungkuk, Ngestiharjo, Kec. Kasihan, Kab. Bantul, Daerah Istimewa Yogyakarta 55182, Indonesia",-7.789219300000001,110.3480322,4.0,41
17,Alfamart,"Wates St KM.3 No.40, Sonosewu, Ngestiharjo, Kasihan, Bantul Regency, Special Region of Yogyakarta 55182, Indonesia",-7.8004883,110.3411322,4.0,34
18,Toko Nining,"39P2+3MP, Jl. Parangtritis, Tj. Lor, Patalan, Kec. Jetis, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55781, Indonesia",-7.914794499999999,110.3517346,0.0,0
19,Alfamart Jalan Wates KM 13 Bantul,"Jl. Raya Wates - Jogjakarta No.16, Tonalan, Argosari, Kec. Sedayu, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55752, Indonesia",-7.8171924,110.2472402,4.4,353
