,Nama,Alamat,Lat,Lng,Rating,User Rating
0,Indomaret,"Jl. Dr. Wahidin, Karangbayam, Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714, Indonesia",-7.8928787,110.3369961,3.8,118
1,Indomaret Bantul,"Jl. Bantul No.60, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55142, Indonesia",-7.817818699999999,110.3557021,4.1,93
2,Indomaret LetKol Subadri,"78PJ+53F, Jumeneng Kidul, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288, Indonesia",-7.7145625,110.3301736,4.6,27
3,Indomaret Tundan Jalan Purbaya,"78PR+CJV, Tundan, Jl. Purbaya, Warak Lor, Sumberadi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288, Indonesia",-7.713877500000001,110.3415359,4.4,605
4,INDOMARET Kebon Agung Sleman,"Jl. Kebon Agung No.16b, Bedingin, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.7318918,110.3232685,3.8,53
5,Indomaret Hybrid Tlogoadi,"788V+24W, Area Sawah, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.7348931,110.3428181,4.3,248
6,Indomaret,"Jl. Magelang Km 135 Rt.11/29, Triharjo, Sleman, Panggeran 8, Triharjo, Sleman, Sleman Regency, Special Region of Yogyakarta 55514, Indonesia",-7.689838300000001,110.3431156,4.2,45
7,Indomaret Kebon Agung,"Jl. Kebon Agung No.8, Karang Geneng, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.743351,110.3559544,3.4,12
8,Indomaret Sendang Adi,"7987+73R, Jl. Jongke Mlati Glondong Sendangadi, Mlati Glondong, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.733136,110.3630064,3.8,111
9,Indomaret Kasuran Minimarket,"78G6+M37, Jl. Kebon Agung, Kasuran Wetan, Margomulyo, Kec. Seyegan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55561, Indonesia",-7.7233378,110.3101604,4.2,46
10,Indomaret Gito Gati,"79J9+57P, Jl. Gito Gati, Grojogan, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512, Indonesia",-7.7195692,110.3682005,3.8,36
11,Indomaret RR 99,"Jalan Ringroad Barat No.99, Trihanggo, Gamping, Bedog, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291, Indonesia",-7.758310799999999,110.3375639,3.9,113
12,Indomaret Jombor,"Magelang St No.01, Jombor Lor, Sendangadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284, Indonesia",-7.747601,110.3626221,3.8,25
13,Indomaret Pandowoharjo,"79X7+QQX, Jl. Pramuka, Temon, Pandowoharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55512, Indonesia",-7.7004644,110.3644906,4.0,102
14,Indomaret RRU Monjali,"69XC+F5G, Jl. Ring Road Utara, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.751297900000001,110.3704628,4.2,35
15,Indomaret Tegal Waras,"797C+5MQ, Jl. Jati Rejo, Sendangadi, Ngaglik, Karang Moko, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285, Indonesia",-7.737000999999999,110.3716954,4.3,29
16,Indomaret Monjali Selatan,"Gg. Intan, Nandan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288, Indonesia",-7.7538547,110.3700505,4.3,31
17,Indomaret Murangan 2,"884V+WPX, Murangan, Triharjo, Sumberadi, Mlati, Panggeran 7, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514, Indonesia",-7.6926295,110.3443534,4.4,762
18,Indomaret Hybrid Sinduadi,"69W6+2V3, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",-7.755001,110.3621693,3.4,87
19,Indomaret Gemawang 2,"Monjali St No.48, Gemawang, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284, Indonesia",-7.756389,110.3699163,4.2,10
20,Indomaret Karangjati,"69M9+JMF, Monjali St, Kutu Dukuh, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284, Indonesia",-7.765945399999999,110.3691864,4.1,52
21,Indomaret Tentara Pelajar,"Jl. Palagan Tentara Pelajar No.6, Rejodani 2, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.7202715,110.3828878,4.2,35
